time_offset,driver_number,x,y,speed,rpm,n_gear,throttle,brake,drs,gap_to_leader,interval,position,lap_number,sector_1,sector_2,sector_3,lap_time,compound,tyre_age
68,77,-6871,-8712,0,3968,0,0,0,1,28.807,2.336,14,0.0,0.0,0.0,0.0,0.0,,0.0
269,77,-6871,-8712,0,4078,0,0,0,1,28.807,2.336,14,0.0,0.0,0.0,0.0,0.0,,0.0
568,77,-6871,-8712,0,4042,0,0,0,1,28.807,2.336,14,0.0,0.0,0.0,0.0,0.0,,0.0
927,77,-6871,-8712,0,3929,0,0,0,1,28.807,2.336,14,0.0,0.0,0.0,0.0,0.0,,0.0
1207,77,-6871,-8712,0,4067,0,0,0,1,28.807,2.336,14,0.0,0.0,0.0,0.0,0.0,,0.0
1548,77,-6871,-8712,0,4014,0,0,0,1,28.807,2.336,14,0.0,0.0,0.0,0.0,0.0,,0.0
1848,77,-6871,-8712,0,4014,0,0,0,1,28.807,2.336,14,0.0,0.0,0.0,0.0,0.0,,0.0
2068,77,-6871,-8712,0,4045,0,0,0,1,28.807,2.336,14,0.0,0.0,0.0,0.0,0.0,,0.0
2388,77,-6871,-8712,0,4019,0,0,0,1,28.807,2.336,14,0.0,0.0,0.0,0.0,0.0,,0.0
2648,77,-6871,-8712,0,3978,0,0,0,1,28.807,2.336,14,0.0,0.0,0.0,0.0,0.0,,0.0
2808,77,-6871,-8712,0,4033,0,0,0,1,28.807,2.336,14,0.0,0.0,0.0,0.0,0.0,,0.0
2988,77,-6871,-8712,0,4138,0,0,0,1,28.807,2.336,14,0.0,0.0,0.0,0.0,0.0,,0.0
3149,77,-6871,-8712,0,4138,0,0,0,1,28.807,2.336,14,0.0,0.0,0.0,0.0,0.0,,0.0
3528,77,-6871,-8712,0,4005,0,0,0,1,28.807,2.336,14,0.0,0.0,0.0,0.0,0.0,,0.0
3908,77,-6871,-8712,0,3978,0,0,0,1,28.807,2.336,14,0.0,0.0,0.0,0.0,0.0,,0.0
4368,77,-6871,-8712,0,3977,0,0,0,1,28.807,2.336,14,0.0,0.0,0.0,0.0,0.0,,0.0
4708,77,-6871,-8712,0,3960,0,0,0,1,28.807,2.336,14,0.0,0.0,0.0,0.0,0.0,,0.0
5109,77,-6871,-8712,0,4006,0,0,0,1,28.807,2.336,14,0.0,0.0,0.0,0.0,0.0,,0.0
5309,77,-6871,-8712,0,3925,0,0,0,1,28.807,2.336,14,0.0,0.0,0.0,0.0,0.0,,0.0
